,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
36,38.0,48.445,71.433,297.1,255.714,0.057,1.12,1.19,36.0,48.759,70.878,296.72,250.629,0.229,5.6,2.67,0.6884312282409534,0.6295502918480903
37,39.0,163.032,30.453,218.07,262.996,2.294,52.0,8.14,37.0,162.008,30.447,219.18,259.685,2.431,54.88,8.36,0.5665448984368101,0.5189786762012245
38,40.0,134.879,73.513,242.01,271.23,7.444,211.0,16.39,39.0,134.596,73.789,242.47,268.01,7.587,206.2,16.2,0.5427484670180135,0.38719367550747724
39,41.0,245.661,42.772,122.7,280.502,0.577,6.88,2.96,40.0,245.605,42.137,123.03,277.076,0.703,9.28,3.44,0.6985628953674786,0.6361240381869723
40,42.0,91.083,45.422,281.66,289.867,3.497,113.3,12.01,41.0,91.034,45.913,281.75,286.66,3.69,118.7,12.29,0.4953971277633589,0.49224936791329693
41,43.0,119.344,67.879,243.23,304.583,3.318,94.72,10.98,42.0,119.171,68.305,243.59,301.17,3.633,100.0,11.28,0.5427048726033089,0.4552342354689314
42,44.0,94.796,50.066,289.61,312.022,0.333,2.88,1.91,43.0,95.304,50.79,289.33,308.8,0.368,6.08,2.78,0.8242613519520386,0.8231059625755753
43,45.0,44.309,20.776,304.42,314.31,4.16,39.68,7.11,44.0,45.346,21.167,303.32,310.853,4.514,36.48,6.82,0.5549378028164075,0.53908773938567
44,47.0,221.716,16.679,145.44,123.579,1.765,12.0,3.91,47.0,221.423,21.251,148.25,120.413,5.077,60.0,8.74,5.227160528559072,4.572977602225625
45,48.0,86.189,43.665,267.78,226.533,1.511,1.44,1.35,48.0,85.956,44.22,267.89,223.164,1.455,1.76,1.5,0.5809511630647219,0.5780716563752287
46,50.0,284.893,82.067,96.23,250.282,11.398,344.3,20.94,49.0,284.852,81.604,96.01,247.07,11.518,338.7,20.77,0.516731743487795,0.4647753084305544
47,51.0,107.705,71.441,226.47,2.7,2.087,9.6,3.5,1.0,108.051,72.058,226.29,0.4,0.4,1.6,1.43,0.7027051562736506,0.6990437944172034
48,52.0,199.755,30.587,147.53,223.909,6.083,57.92,8.59,57.0,198.909,30.206,148.38,220.595,6.129,57.44,8.55,0.5855377358674697,0.5730508846545301
49,53.0,136.882,61.545,207.06,85.075,3.35,2.56,1.81,54.0,136.745,61.842,207.48,81.569,3.262,2.08,1.63,0.47833865722955027,0.3205583351986169
50,55.0,241.023,57.013,115.26,64.52,6.39,43.68,7.46,53.0,240.836,56.383,115.59,61.037,5.693,43.52,7.44,0.6877522407322697,0.6490968654524034
51,56.0,108.212,55.467,245.51,105.285,3.906,13.6,4.16,56.0,108.011,56.091,246.25,97.953,2.318,5.44,2.63,0.9000395807448119,0.6457541089630382
52,57.0,296.222,20.688,60.77,281.1,3.28,3.2,2.02,50.0,305.361,25.371,54.13,306.0,0.6,0.32,0.64,6.142606769911877,5.8791685916087095
53,58.0,66.77,88.142,274.88,42.705,9.608,213.4,16.49,60.0,66.813,88.631,274.69,39.308,8.823,210.4,16.37,0.5259369529447099,0.49088544776022547
54,59.0,133.296,67.9,209.02,97.8,2.6,0.96,1.11,54.0,136.745,61.842,207.48,81.569,3.262,2.08,1.63,6.814651687960699,6.8142617458625505
55,61.0,304.377,27.761,54.67,304.8,2.6,0.32,0.64,50.0,305.361,25.371,54.13,306.0,0.6,0.32,0.64,2.453810337820909,2.4301018796835834
56,62.0,223.794,64.587,107.95,104.482,6.857,49.44,7.93,17.0,223.729,63.84,108.01,102.7,1.407,35.2,6.69,0.749960476936965,0.7492892446397784
57,63.0,222.654,22.85,147.83,123.953,6.23,47.84,7.8,47.0,221.423,21.251,148.25,120.413,5.077,60.0,8.74,1.8138403270963803,1.6643635448782703
58,64.0,12.81,41.736,7.62,179.2,3.0,0.32,0.64,80.0,10.949,43.532,9.52,174.8,5.8,0.32,0.64,2.257279181942784,2.1940275202868142
59,65.0,255.848,26.55,89.8,1.73,4.61,12.8,4.04,7.0,273.807,26.104,76.86,21.938,4.862,104.0,11.51,8.562979304219713,7.950738450299724
60,66.0,50.927,44.066,295.8,4.839,5.027,8.16,3.22,59.0,51.075,44.589,295.59,1.35,3.925,7.68,3.13,0.5431995555322189,0.5331262684754982
61,70.0,303.9,26.7,54.59,303.4,3.6,0.32,0.64,50.0,305.361,25.371,54.13,306.0,0.6,0.32,0.64,1.704261066514828,1.4755354200910216
62,72.0,265.258,46.247,82.86,206.272,12.787,161.0,14.32,73.0,265.121,45.762,82.81,202.975,12.657,157.8,14.17,0.5157615208917828,0.49491238122457654
63,73.0,104.741,70.608,279.51,15.3,6.947,27.52,5.92,1.0,108.051,72.058,226.29,0.4,0.4,1.6,1.43,8.566133381229552,3.4547413726191945
64,75.0,102.941,44.631,253.98,111.28,5.2,1.6,1.43,62.0,109.489,41.122,248.79,116.2,2.4,0.32,0.64,5.680994711365943,5.667821293317307
65,76.0,106.53,41.653,252.93,120.2,5.2,0.32,0.64,62.0,109.489,41.122,248.79,116.2,2.4,0.32,0.64,2.7917163494302706,2.0269695243545103
66,77.0,207.549,10.939,162.48,280.75,9.976,32.16,6.4,81.0,205.492,10.694,164.46,277.568,10.211,30.4,6.22,0.458959304123659,0.45717190451561474
67,78.0,257.369,19.772,109.81,299.416,11.483,103.5,11.48,82.0,257.151,19.211,110.03,296.168,11.827,99.36,11.25,0.5658806809220521,0.5656951134647459
68,80.0,180.401,26.454,186.12,130.388,8.841,48.8,7.88,79.0,179.458,26.283,187.09,126.986,8.476,47.04,7.74,0.4693654006462024,0.4523845370981276
69,81.0,132.953,50.063,201.93,310.439,10.964,84.96,10.4,85.0,132.513,50.481,202.43,307.135,11.239,80.32,10.11,0.5806009267697708,0.5378063739004745
70,82.0,318.563,44.369,32.45,2.943,10.847,59.36,8.69,77.0,319.29,44.255,31.43,1.66,8.216,22.56,5.36,0.7215988346012753,0.5204925363233166
71,86.0,235.375,37.981,138.48,10.385,13.322,125.0,12.61,78.0,235.252,37.362,138.71,7.016,12.344,121.9,12.46,0.6374986119067063,0.6235471970410309
72,87.0,50.086,70.687,288.94,288.102,12.071,103.8,11.5,36.0,48.759,70.878,296.72,250.629,0.229,5.6,2.67,7.451637575155638,1.2675235576932493
73,89.0,112.074,44.388,223.64,159.281,18.551,245.3,17.67,84.0,111.677,44.872,224.03,156.058,18.054,238.2,17.42,0.5688497982516415,0.5586060235957857
74,90.0,307.053,46.703,24.54,234.963,12.443,110.6,11.86,88.0,307.292,46.251,23.93,231.875,12.423,106.4,11.64,0.6578196220775825,0.4840823734792729
75,91.0,326.683,44.086,61.73,217.105,14.446,132.5,12.99,86.0,327.08,43.799,61.01,213.867,14.254,130.4,12.89,0.5888502778767838,0.39782454066548384
76,95.0,149.975,72.415,188.43,284.224,9.488,4.0,2.26,91.0,149.802,72.601,188.81,280.91,9.628,4.64,2.43,0.41158892116236157,0.2486384207864529
77,97.0,118.651,45.133,216.42,212.133,8.267,0.48,0.78,100.0,117.842,44.821,217.57,208.55,9.7,1.28,1.28,0.8706697815699956,0.651395287301028
78,98.0,202.699,29.002,172.74,58.708,12.622,65.28,9.12,95.0,201.841,28.679,173.66,55.42,11.883,62.72,8.94,0.5513423301757776,0.5249904364920567
79,99.0,301.688,8.142,52.36,71.01,11.543,36.96,6.86,96.0,304.09,7.738,49.94,67.546,10.861,35.84,6.76,0.524312795410958,0.5227068346838957
80,101.0,36.743,15.86,303.63,177.244,12.498,45.6,7.62,20.0,54.978,17.114,289.32,129.07,2.268,61.76,8.87,6.185934637063236,5.301782487687329
81,104.0,197.975,17.637,174.57,30.15,10.69,19.2,4.94,94.0,195.94,17.421,176.53,26.499,9.802,18.72,4.88,0.6501189590492981,0.6498272286371506
82,105.0,162.227,44.88,214.86,229.617,10.313,7.36,3.06,98.0,161.525,45.213,215.67,226.13,9.94,6.4,2.85,0.6754904175479135,0.5980690891630618
83,107.0,236.165,24.094,130.69,25.726,17.59,237.3,17.38,14.0,223.38,24.238,146.91,69.377,3.914,76.96,9.9,6.927044872420987,5.226865489737649
84,109.0,117.874,44.558,216.85,212.08,9.68,0.8,1.01,100.0,117.842,44.821,217.57,208.55,9.7,1.28,1.28,0.7455417315294578,0.26396107132810576
85,110.0,83.122,24.177,290.37,277.583,10.883,3.84,2.21,31.0,77.909,20.344,300.79,230.761,4.969,71.68,9.55,7.058429181359834,4.3083461204615725
86,111.0,341.521,47.027,26.79,105.743,15.105,100.6,11.32,99.0,342.024,46.796,25.97,102.345,14.493,100.2,11.29,0.6443917799183934,0.4339343838097309
87,112.0,159.819,24.411,204.62,120.904,23.408,446.2,23.84,79.0,179.458,26.283,187.09,126.986,8.476,47.04,7.74,8.578968149236148,8.575258938455821
88,114.0,71.628,17.76,262.53,170.658,12.517,28.0,5.97,104.0,71.98,18.326,262.03,167.383,12.141,26.24,5.78,0.5996376885568446,0.5764023159201958
89,117.0,49.798,16.611,294.85,147.261,17.699,130.7,12.9,20.0,54.978,17.114,289.32,129.07,2.268,61.76,8.87,1.6841935795547036,1.5839505233438897
90,119.0,320.306,14.554,14.04,65.217,21.989,258.4,18.14,107.0,322.091,14.256,12.1,61.992,21.046,251.7,17.9,0.5749121754596379,0.5347520250041087
91,120.0,231.991,34.397,122.85,133.757,17.602,147.5,13.71,109.0,231.698,33.81,123.32,130.486,17.061,146.1,13.64,0.6505837561130171,0.6095537463740668
92,121.0,98.935,69.698,257.06,166.083,15.26,25.44,5.69,114.0,98.753,70.294,257.3,162.805,14.837,26.24,5.78,0.645022785420618,0.6200511027621292
93,122.0,215.887,52.474,151.97,224.951,18.771,107.4,11.69,30.0,222.902,50.625,148.51,224.8,1.239,19.84,5.03,5.865018586954796,5.794662379621445
